id,d1,d2,d3,area,type,type2,district,model,age
101,110,195,110,2.15,Rug,rug,NİĞDE,MADALYON,50
102,126,200,126,2.52,Rug,rug,NİĞDE DEMİRCİ,MADALYON,70
103,95,180,95,1.71,Rug,rug,EGE SINDIRGI,GÖBEKLİ,60
104,102,181,102,1.85,Kilim,kilim,İRAN,"CİCİM, ELİ BELİNDE",70
106,88,315,88,2.77,Other,other,NİĞDE,,70
107,115,150,115,1.73,Kilim,kilim,SİVAS,ELİ BELİNDE,70
109,101,200,101,2.02,Rug,rug,AKSARAY TAŞPINAR,,80
110,90,130,90,1.17,Rug,rug,AKSARAY TAŞPINAR ARISAMA,,50
111,115,205,115,2.36,Rug,rug,BALIKESIR,TOPLU,70
112,110,177,110,1.95,Kilim,kilim,UŞAK,ELİ BELİNDE,30
113,122,170,122,2.07,Rug,rug,KONYA,,80
114,124,185,124,2.29,Rug,rug,EGE SINDIRGI,GÖBEKLİ,40
115,75,115,75,0.86,Rug,rug,AKSARAY,,70
116,106,165,106,1.75,Rug,rug,KIRŞEHİR,MİHRAPLI,100
117,90,370,90,3.33,Kilim,kilim,SİVAS,SELÇUKLU,80-100
118,122,185,122,2.26,Rug,rug,NİĞDE DEMIRCI,MADALYON,60
120,100,120,100,1.2,Rug,rug,NİĞDE,MİHRAPLI,100
121,106,190,106,2.01,Rug,rug,KONYA TAŞPINAR ARISAMA,MADALYON,60
122,136,228,136,3.1,Rug,rug,KONYA TAŞPINAR,SİNEKLİ,70
123,164,265,164,4.35,Kilim,kilim,KONYA,"CİCİM, ELİ BELİNDE",50
124,164,292,164,4.79,Other,other,TEKİRDAĞ ŞARKÖY,,100
125,148,217,148,3.21,Rug,rug,AFGAN,TOPLU,70
126,151,238,151,3.59,Rug,rug,TÜRKMEN,KARPUZLU,80
127,133,204,133,2.71,Rug,rug,İRAN TEBRIZ,,70
128,116,214,116,2.48,Rug,rug,ISPARTA,ZEKI MÜREN,60
129,147,248,147,3.65,Rug,rug,ISPARTA,ANONİM,60
130,126,205,126,2.58,Rug,rug,NİĞDE DEMIRCI,MADALYON,70
131,132,202,132,2.67,Rug,rug,KONYA TAŞPINAR,MADALYON SİNEKLİ,50
132,128,210,128,2.69,Rug,rug,KONYA TAŞPINAR,MADALYON SİNEKLİ,50-60
133,124,180,124,2.23,Rug,rug,NİĞDE BOR,MADALYON,70
134,116,217,116,2.52,Rug,rug,ISPARTA,ZEKI MÜREN,60
135,134,248,134,3.32,Rug,rug,KONYA TAŞPINAR,ARISAMAN,50
136,131,280,131,3.67,Rug,rug,KAYSERİ YAHYALI,ZİNCİRLİ,40
141,106,332,106,3.52,Rug,rug,KIRŞEHİR,ELİ BELİNDE,70
142,152,402,152,6.11,Rug,rug,ISPARTA,SİLSİLE,60
144,212,392,212,8.31,Other,other,SİVAS,,70
145,156,373,156,5.82,Kilim,kilim,KAYSERİ,ELİ BELİNDE,100
146,161,314,161,5.06,Kilim,kilim,DENİZLİ,ELİ BELİNDE,40
147,154,375,154,5.78,Other,other,DENİZLİ,,60
148,152,350,152,5.32,Kilim,kilim,DENİZLİ,ELİ BELİNDE,60
149,50,90,50,0.45,Other,other,MALATYA,ELİ BELİNDE,80
150,65,102,65,0.66,Kilim,kilim,KONYA,CİCİM,70
151,67,245,67,1.64,Other,other,KONYA,,70
152,69,138,69,0.95,Other,other,KONYA,,70
153,296,450,296,13.32,Rug,rug,ISPARTA,MADALYON,60
154,237,330,237,7.82,Rug,rug,ISPARTA,MADALYON,60
155,261,367,261,9.58,Rug,rug,KONYA LADIK,MADALYON,50
156,161,257,161,4.14,Rug,rug,UŞAK,SELÇUKLU,100
157,160,260,160,4.16,Rug,rug,KAYSERİ BÜNYAN,SONSUZLUK,50
158,227,374,227,8.49,Kilim,kilim,SİVAS,TIRNAKLI,80
159,240,330,240,7.92,Rug,rug,ISPARTA,SERPME ÇIÇEK,60
160,246,350,246,8.61,Rug,rug,AFYON SANDIKLI,,60
161,226,300,226,6.78,Rug,rug,ISPARTA,MADALYON,70
162,247,396,247,9.78,Rug,rug,HEREKE,YEDİ DAĞIN ÇİÇEĞİ,30
163,250,361,250,9.03,Rug,rug,KARS ŞAHSEVEN,GÖBEKLİ,60
164,198,298,198,5.9,Rug,rug,KAYSERİ BÜNYAN,,40-50
165,228,312,228,7.11,Rug,rug,ISPARTA,GÖBEKLİ,70
166,198,298,198,5.9,Rug,rug,KAYSERİ BÜNYAN,SERPME ÇİÇEK,50
167,214,332,214,7.1,Rug,rug,MALATYA,TOPLU,70
168,186,283,186,5.26,Rug,rug,ISPARTA,YEDİ DAĞIN ÇİÇEĞİ,60
169,209,290,209,6.06,Rug,rug,MALATYA,TOPLU,70
170,200,295,200,5.9,Rug,rug,KAYSERİ BÜNYAN,BİNBİR GECE,60
171,203,303,203,6.15,Rug,rug,KAYSERİ BÜNYAN,MADALYON,50
172,195,303,195,5.91,Rug,rug,İRAN TEBRIZ,MADALYON,50
173,263,375,263,9.86,Rug,rug,ISPARTA,SERPME ÇİÇEK,60
174,205,295,205,6.05,Rug,rug,ÇİN,MADALYON TOPLU KABARTMA,30